
2023,June,07,Sunday,Church,2hrs,Undone,Important
2025,March,29,Monday,Graduation,5hrs,Done,Not Important
2022,May,9,Monday,Election,2hrs,Done,Not Important
2022,May,8,Sunday,Play with cats,4hrs,Undone,Not Important
2017,June,18,Monday,First Day of School,12hrs,Undone,Important
2022,May,20,Monday,Quiz OOP,2hrs,Done,Not Important
2022,May,19,Thursday,Quiz EDA,1hr,Done,Important
2022,May,19,Thursday,Play games,4hrs,Undone,Important
2022,June,12,Friday,Independence Day,2hrs,Undone,Important
2022,June,7,Tuesday,Birthday,,Undone,Not Important
2022,May,20,Friday,Study,1hr,Undone,Important
2022,May,22,Sunday,Work,6hrs,Done,Not Important
2022,June,03,Friday,OOP Quiz 2,4hrs,Undone,Important
